input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
GMGC10.031_619_256.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	93.62			1	423					+		100.0								
GMGC10.035_740_690.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	85.58			1	416					+		99.76								
GMGC10.036_248_507.FOSX	GMGC10.95nr_block_0007	(Fcyn)FosX_CC	(Fcyn)FosX_CC	argannot	2021-Mar-27	CP014206:371999-372415	abricate	abricate 1.0.1	100.0			1	417					+		100.0								
GMGC10.036_635_555.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA2	(Fcyn)FosA2	argannot	2021-Mar-27	EU487198:217-642	abricate	abricate 1.0.1	84.92			1	411					+		96.48								
GMGC10.038_021_722.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosK	(Fcyn)FosK	argannot	2021-Mar-27	AB917040:737-1135	abricate	abricate 1.0.1	86.22			1	399					+		100.0								
GMGC10.039_045_695.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	91.83			1	416					+		99.76								
GMGC10.039_052_825.FOSA	GMGC10.95nr_block_0007	(Fcyn)FosB2	(Fcyn)FosB2	argannot	2021-Mar-27	NC_012581.1:459871-460290	abricate	abricate 1.0.1	84.58			13	414					+		95.71								
GMGC10.039_064_668.FOSA	GMGC10.95nr_block_0007	(Fcyn)FosB2	(Fcyn)FosB2	argannot	2021-Mar-27	NC_012581.1:459871-460290	abricate	abricate 1.0.1	98.57			1	420					+		100.0								
GMGC10.040_427_529.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	81.73			1	416					+		99.76								
GMGC10.042_399_422.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosF	(Fcyn)fosF	argannot	2021-Mar-27	NG_047894:101-499	abricate	abricate 1.0.1	83.83			1	402					+		100.0								
GMGC10.002_310_983.ARR	GMGC10.95nr_block_0008	(Rif)arr5	(Rif)arr5	argannot	2021-Mar-27	EF660563:393-845	abricate	abricate 1.0.1	100.0			1	453					+		100.0								
GMGC10.008_738_752.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	97.72			1	438					+		100.0								
GMGC10.008_780_045.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	87.44			1	438					+		100.0								
GMGC10.008_786_780.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	89.95			1	438					+		100.0								
GMGC10.008_812_602.UNKNOWN	GMGC10.95nr_block_0008	(AGly)aadC	(AGly)aadC	argannot	2021-Mar-27	V01282:225-701	abricate	abricate 1.0.1	87.0			33	432					+		83.86								
GMGC10.008_869_607.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	98.4			1	438					+		100.0								
GMGC10.012_333_233.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Ir	(AGly)aac6-Ir	argannot	2021-Mar-27	AF031326:1-441	abricate	abricate 1.0.1	95.01			1	441					+		100.0								
GMGC10.012_462_700.FOSB	GMGC10.95nr_block_0008	(Fcyn)FosA2	(Fcyn)FosA2	argannot	2021-Mar-27	EU487198:217-642	abricate	abricate 1.0.1	90.59			2	426					+		99.77								
GMGC10.013_845_716.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Ir	(AGly)aac6-Ir	argannot	2021-Mar-27	AF031326:1-441	abricate	abricate 1.0.1	95.69			1	441					+		100.0								
GMGC10.014_441_136.GPT	GMGC10.95nr_block_0008	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	82.41			1	432					+		92.9								
GMGC10.015_244_634.UNKNOWN	GMGC10.95nr_block_0008	(AGly)aac3-Ii	(AGly)aac3-Ii	argannot	2021-Mar-27	CP000356:638262-638720	abricate	abricate 1.0.1	83.81			1	451					+		98.26								
GMGC10.021_706_398.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	95.66			1	438					+		100.0								
GMGC10.022_754_984.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Ic	(AGly)aac6-Ic	argannot	2021-Mar-27	M94066:1554-1994	abricate	abricate 1.0.1	97.51			1	441					+		100.0								
GMGC10.024_612_514.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iv	(AGly)aac6-Iv	argannot	2021-Mar-27	AF031330:1-441	abricate	abricate 1.0.1	100.0			1	441					+		100.0								
GMGC10.024_841_736.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iw	(AGly)aac6-Iw	argannot	2021-Mar-27	AF031331:1-441	abricate	abricate 1.0.1	94.32			1	440					+		99.77								
GMGC10.024_864_889.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iu	(AGly)aac6-Iu	argannot	2021-Mar-27	AF031329:1-441	abricate	abricate 1.0.1	92.52			1	441					+		100.0								
GMGC10.024_901_610.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iu	(AGly)aac6-Iu	argannot	2021-Mar-27	AF031329:1-441	abricate	abricate 1.0.1	100.0			1	441					+		100.0								
GMGC10.024_940_502.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Ij	(AGly)aac6-Ij	argannot	2021-Mar-27	L29045:260-700	abricate	abricate 1.0.1	98.87			1	441					+		100.0								
GMGC10.024_945_742.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iw	(AGly)aac6-Iw	argannot	2021-Mar-27	AF031331:1-441	abricate	abricate 1.0.1	100.0			1	441					+		100.0								
GMGC10.026_782_138.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Is	(AGly)aac6-Is	argannot	2021-Mar-27	AF031327:1-441	abricate	abricate 1.0.1	99.55			1	441					+		100.0								
GMGC10.036_573_454.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Ic	(AGly)aac6-Ic	argannot	2021-Mar-27	M94066:1554-1994	abricate	abricate 1.0.1	92.74			1	441					+		100.0								
GMGC10.036_772_032.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Ih	(AGly)aac6-Ih	argannot	2021-Mar-27	L29044:352-792	abricate	abricate 1.0.1	96.83			1	441					+		100.0								
GMGC10.038_886_820.ARR	GMGC10.95nr_block_0008	(Rif)arr4	(Rif)arr4	argannot	2021-Mar-27	EF660562:1672-2124	abricate	abricate 1.0.1	100.0			1	453					+		100.0								
GMGC10.002_282_021.FOSB	GMGC10.95nr_block_0009	(Fcyn)FosA4	(Fcyn)FosA4	argannot	2021-Mar-27	AB908992:1-417	abricate	abricate 1.0.1	100.0			61	477					+		100.0								
GMGC10.002_457_180.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	83.01			1	465					+		100.0								
GMGC10.003_404_605.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.88			1	455					+		97.85								
GMGC10.004_842_979.FOSX	GMGC10.95nr_block_0009	(Fcyn)FosX	(Fcyn)FosX	argannot	2021-Mar-27	AP010904:1708924-1709388	abricate	abricate 1.0.1	100.0			1	465					+		100.0								
GMGC10.005_854_987.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aac3-Ig	(AGly)aac3-Ig	argannot	2021-Mar-27	CP000282:2333620-2334096	abricate	abricate 1.0.1	100.0			1	477					+		100.0								
GMGC10.006_110_533.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aac3-Ii	(AGly)aac3-Ii	argannot	2021-Mar-27	CP000356:638262-638720	abricate	abricate 1.0.1	100.0			1	459					+		100.0								
GMGC10.006_514_400.UNKNOWN	GMGC10.95nr_block_0009	(AGly)AAC(6')-Isa	(AGly)AAC(6')-Isa	argannot	2021-Mar-27	NG_047311:101-574	abricate	abricate 1.0.1	81.65			1	474					+		100.0								
GMGC10.006_551_847.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	82.15			1	465					+		100.0								
GMGC10.009_049_327.FOLA	GMGC10.95nr_block_0009	(Tmt)dfr32	(Tmt)dfr32	argannot	2021-Mar-27	GU067642:535-1008	abricate	abricate 1.0.1	100.0			1	474					+		100.0								
GMGC10.010_911_095.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	82.79			7	465					+		98.71								
GMGC10.011_063_031.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	83.41			1	464					+		99.78								
GMGC10.011_213_951.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	83.44			1	465					+		100.0								
GMGC10.011_754_669.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.35			1	462					+		98.92								
GMGC10.012_022_989.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	81.52			7	465					+		98.49								
GMGC10.012_023_961.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	82.15			1	465					+		100.0								
GMGC10.012_568_244.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aac3-Id	(AGly)aac3-Id	argannot	2021-Mar-27	AB114632:104-580	abricate	abricate 1.0.1	99.79			1	477					+		100.0								
GMGC10.012_880_997.FOSB	GMGC10.95nr_block_0009	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	87.26			1	471					+		100.0								
GMGC10.012_911_683.UNKNOWN	GMGC10.95nr_block_0009	(AGly)AAC(6')-Isa	(AGly)AAC(6')-Isa	argannot	2021-Mar-27	NG_047311:101-574	abricate	abricate 1.0.1	100.0			1	474					+		100.0								
GMGC10.013_237_334.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	81.94			1	465					+		100.0								
GMGC10.014_042_472.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aadC	(AGly)aadC	argannot	2021-Mar-27	V01282:225-701	abricate	abricate 1.0.1	87.0			1	477					+		100.0								
GMGC10.014_400_513.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	82.1			1	419					+		90.11								
GMGC10.014_701_230.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aac(6')	(AGly)aac(6')	argannot	2021-Mar-27	NG_052413:101-583	abricate	abricate 1.0.1	92.75			1	483					+		100.0								
GMGC10.015_195_936.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	85.38			1	465					+		100.0								
GMGC10.015_422_600.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	81.08			1	465					+		100.0								
GMGC10.015_648_938.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.47			1	465					+		99.78								
GMGC10.015_663_116.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	82.14			7	465					+		98.71								
GMGC10.016_206_946.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	93.76			1	465					+		100.0								
GMGC10.016_253_048.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.44			7	465					+		98.49								
GMGC10.016_267_654.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	81.62			1	457					+		98.28								
GMGC10.016_336_086.UNKNOWN	GMGC10.95nr_block_0009	(AGly)AAC(6')-Isa	(AGly)AAC(6')-Isa	argannot	2021-Mar-27	NG_047311:101-574	abricate	abricate 1.0.1	85.02			1	474					+		100.0								
GMGC10.016_795_782.FOLA	GMGC10.95nr_block_0009	(Tmt)dfrA29	(Tmt)dfrA29	argannot	2021-Mar-27	AM237806:615-1086	abricate	abricate 1.0.1	100.0			1	472					+		100.0								
GMGC10.016_807_648.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.86			1	465					+		100.0								
GMGC10.016_812_144.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	81.9			1	464					+		99.78								
GMGC10.017_615_573.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.52			1	462					+		99.14								
GMGC10.017_618_532.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.43			1	465					+		100.0								
GMGC10.018_266_394.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	83.66			1	465					+		100.0								
GMGC10.018_342_442.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	81.29			1	465					+		100.0								
GMGC10.018_765_599.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.86			1	465					+		100.0								
GMGC10.018_836_638.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	80.0			1	465					+		100.0								
GMGC10.018_887_303.AACA7	GMGC10.95nr_block_0009	(AGly)aac6-Iz	(AGly)aac6-Iz	argannot	2021-Mar-27	AF140221:390-851	abricate	abricate 1.0.1	84.41			1	449					+		97.19								
GMGC10.018_949_302.UNKNOWN	GMGC10.95nr_block_0009	(AGly)AAC(6')-Isa	(AGly)AAC(6')-Isa	argannot	2021-Mar-27	NG_047311:101-574	abricate	abricate 1.0.1	85.29			6	474					+		98.95								
GMGC10.020_912_768.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aac3-Ii	(AGly)aac3-Ii	argannot	2021-Mar-27	CP000356:638262-638720	abricate	abricate 1.0.1	80.88			22	455					+		94.55								
GMGC10.021_741_379.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aac3-If	(AGly)aac3-If	argannot	2021-Mar-27	AY884051:61-525	abricate	abricate 1.0.1	98.5			1	465					+		100.0								
GMGC10.021_750_302.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aac3-Ic	(AGly)aac3-Ic	argannot	2021-Mar-27	AJ511268:1295-1765	abricate	abricate 1.0.1	100.0			1	471					+		100.0								
GMGC10.021_750_674.UNKNOWN	GMGC10.95nr_block_0009	(AGly)aac3-Id	(AGly)aac3-Id	argannot	2021-Mar-27	AB114632:104-580	abricate	abricate 1.0.1	85.95			1	474					+		99.37								
GMGC10.021_750_750.UNKNOWN	GMGC10.95nr_block_0009	(Tmt)dfrA1	(Tmt)dfrA1	argannot	2021-Mar-27	JQ794607:474	abricate	abricate 1.0.1	80.04			1	474					+		99.58								
GMGC10.022_347_379.UNKNOWN	GMGC10.95nr_block_0009	(AGly)AAC(6')-Isa	(AGly)AAC(6')-Isa	argannot	2021-Mar-27	NG_047311:101-574	abricate	abricate 1.0.1	84.18			1	474					+		100.0								
GMGC10.024_555_485.UNKNOWN	GMGC10.95nr_block_0009	(Tmt)dfrA30	(Tmt)dfrA30	argannot	2021-Mar-27	AM997279:705-1178	abricate	abricate 1.0.1	99.58			1	474					+		100.0								
GMGC10.024_792_322.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	83.26			1	465					+		99.78								
