Original ID	ARO	Gene Name in CARD	Description
124106650|BAF45447.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
124106658|BAF45451.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
124106674|BAF45459.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
12518278|AAG58695.1|1|1|lpfA1|lpfA1||1|||long_polar_fimbria_major_subunit_LpfA1			General stress response/Virulence gene
1325136444|AUN52700.1|1|1|rmpD|rmpD||1|||mucoid_phenotype_synthesis_protein_RmpD			General stress response/Virulence gene
13310561|AAK18385.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA			General stress response/Virulence gene
13701623|BAB42916.1|1|1|seo|seo||1|||staphylococcal_enterotoxin_type_O			General stress response/Virulence gene
13774144|BAB43874.1|1|1|cadD|cadD||1|CADMIUM|CADMIUM|cadmium_resistance_transporter_CadD			Metal resistance gene
13811426|AAK40114.1|1|1|hreP|hreP||1|||subtilisin/kexin-like_serine_protease_HreP			General stress response/Virulence gene
139002545|BAF52034.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139002548|BAF52035.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139002755|BAF52033.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003779|BAF52358.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003787|BAF52360.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003791|BAF52362.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003796|BAF52363.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003798|BAF52364.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003804|BAF52365.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003810|BAF52366.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003812|BAF52367.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003825|BAF52370.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003840|BAF52374.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
139003851|BAF52377.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
143192|AAA83978.1|1|1|merB1|merB1||1|ORGANOMERCURY|MERCURY|organomercurial_lyase_MerB1			Metal resistance gene
1437352259|SUK66413.1|1|1|sel30|sel30||1|||staphylococcal_enterotoxin_type_30			General stress response/Virulence gene
144867|AAA23263.1|1|1|bont_F6|bont_F6||1|||botulinum_neurotoxin_subtype_F6			General stress response/Virulence gene
144928|AAA72120.1|1|1|cpe|cpe||1|||enterotoxin_CPE			General stress response/Virulence gene
14579333|AAK69210.1|1|1|yopD|yopD||1|||type_III_secretion_system_translocon_subunit_YopD			gne
146150132|ABQ02454.1|1|1|rho-1|rho-1||1|RHO|INTIMIN|intimin_type_rho			General stress response/Virulence gene
147830|AAA24632.1|1|1|stxA2f|stxA2f||1|STX2F|STX2|Shiga_toxin_Stx2f_subunit_A			General stress response/Virulence gene
148750667|ABR09934.1|1|1|stxA2c|stxA2c||1|STX2C|STX2|Shiga_toxin_Stx2c_subunit_A			General stress response/Virulence gene
150729|AAA25638.1|1|1|arsC_thio|arsC_thio||1|ARSENATE|ARSENIC|thioredoxin-dependent_arsenate_reductase			Metal resistance gene
151858|AAA21095.1|1|1|arsB_R773|arsB_R773||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB			Metal resistance gene
152520|AAA26403.1|1|1|klaC|klaC||1|TELLURIUM|TELLURIUM|tellurium_resistance_system_protein_klaC			Metal resistance gene
15419713|AAK97135.1|1|1|csaB|csaB||1|||CS4_pilus_major_pilin_CsaB			General stress response/Virulence gene
1545992|AAB42204.1|1|1|arsB_pYV|arsB_pYV||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB			Metal resistance gene
15528433|CAC69250.1|1|1|MerP_Gneg|MerP_Gneg||1|MERCURY|MERCURY|mercury_resistance_system_periplasmic_binding_protein_MerP			Metal resistance gene
155344|AAA27587.1|1|1|arsR_pSX267|arsR_pSX267||1|ARSENIC|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR			Metal resistance gene
155345|AAA27588.1|1|1|arsB_pI258|arsB_pI258||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB			Metal resistance gene
155346|AAA27589.1|1|1|arsC_thio|arsC_thio||1|ARSENATE|ARSENIC|thioredoxin-dependent_arsenate_reductase			Metal resistance gene
157076729|ABV16438.1|1|1|eatA|eatA||1|||serine_protease_autotransporter_toxin_EatA			General stress response/Virulence gene
15723940|AAL06387.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF			General stress response/Virulence gene
157688250|ABQ02442.1|1|1|ehxA|ehxA||1|||enterohemolysin_EhxA			General stress response/Virulence gene
157688252|ABQ02443.1|1|1|ehxA|ehxA||1|||enterohemolysin_EhxA			General stress response/Virulence gene
157688256|ABQ02445.1|1|1|ehxA|ehxA||1|||enterohemolysin_EhxA			General stress response/Virulence gene
159132570|BAF91946.1|1|1|bont_B6|bont_B6||1|||botulinum_neurotoxin_subtype_B6			General stress response/Virulence gene
159885585|BAF92845.1|1|1|tir|tir||1|||type_III_secretion_system_LEE_translocated_intimin_receptor_Tir			General stress response/Virulence gene
16417609|AAL18821.1|1|1|epeA|epeA||1|||serine_protease_autotransporter_EpeA			General stress response/Virulence gene
164457634|BAF96541.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
1653492|BAA18405.1|1|1|acr3|acr3||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_Acr3			Metal resistance gene
166409298|BAG06667.1|1|1|ses|ses||1|||staphylococcal_enterotoxin_type_S			General stress response/Virulence gene
168986470|BAG12001.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
169294941|EDS77074.1|1|1|c3bot2|c3bot2||1|||C3_toxin			General stress response/Virulence gene
170518859|ACB17037.1|1|1|air|air||1|||inverse_autotransporter_adhesin_EaeX/Air			General stress response/Virulence gene
170521958|ACB20136.1|1|1|iha|iha||1|||bifunctional_siderophore_receptor/adhesin_Iha			General stress response/Virulence gene
1753231480|KAA9473339.1|1|1|arsB_Lm|arsB_Lm||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB			Metal resistance gene
1764164|AAC44731.1|1|1|espC|espC||1|||serine_protease_autotransporter_toxin_EspC			General stress response/Virulence gene
1796443971|QHF70768.1|1|1|fanC|fanC||1|||F5_fimbrial_major_subunit_protein_FanC			General stress response/Virulence gene
18147064|BAB83020.1|1|1|stxA2g|stxA2g||1|STX2G|STX2|Shiga_toxin_Stx2g_subunit_A			General stress response/Virulence gene
18147067|BAB83022.1|1|1|stxA1c|stxA1c||1|STX1C|STX1|Shiga_toxin_Stx1c_subunit_A			General stress response/Virulence gene
18462537|AAL72309.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA			General stress response/Virulence gene
188998312|ACD67884.1|1|1|cpd|cpd||1|||beta-channel_forming_cytolysin_CPD			General stress response/Virulence gene
192758587|ACF05260.1|1|1|agg4A|agg4A||1|||aggregative_adherence_fimbria_4_major_subunit_Agg4A/HdaA			General stress response/Virulence gene
195182801|BAG66379.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
195957566|ACG59676.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA			General stress response/Virulence gene
196475602|ACG76368.1|1|1|arsP|arsP||1|ORGANOARSENIC|ARSENIC|organoarsenical_efflux_permease_ArsP			Metal resistance gene
198040639|CAR56625.1|1|1|cblA_Bc|cblA_Bc||1|||cable_pilus_major_pilin_CblA			General stress response/Virulence gene
215266044|CAS10463.1|1|1|espC|espC||1|||serine_protease_autotransporter_toxin_EspC			General stress response/Virulence gene
215489834|CAS06720.1|1|1|gamma-2|gamma-2||1|THETA|INTIMIN|intimin_type_theta			General stress response/Virulence gene
215489836|CAS06721.1|1|1|alpha-6|alpha-6||1|ZETA|INTIMIN|intimin_type_zeta			General stress response/Virulence gene
215489840|CAS06723.1|1|1|alpha-6|alpha-6||1|ZETA|INTIMIN|intimin_type_zeta			General stress response/Virulence gene
2159997|BAA20336.1|1|1|MerP_Gneg|MerP_Gneg||1|MERCURY|MERCURY|mercury_resistance_system_periplasmic_binding_protein_MerP			Metal resistance gene
21636536|AAM70045.1|1|1|stxA2a|stxA2a||1|STX2A|STX2|Shiga_toxin_Stx2a_subunit_A			General stress response/Virulence gene
218349792|CAQ87187.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN			General stress response/Virulence gene
218428762|CAR09703.2|1|1|ireA|ireA||1|||TonB-dependent_siderophore_receptor_IreA			General stress response/Virulence gene
218434398|CAR15326.1|1|1|air|air||1|||inverse_autotransporter_adhesin_EaeX/Air			General stress response/Virulence gene
22003413|AAM88668.1|1|1|cueA|cueA||1|COPPER|COPPER|copper_resistance_metal-translocating_P1-type_ATPase_CueA			Metal resistance gene
221361465|CAX18635.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF			General stress response/Virulence gene
222708689|ACM67146.1|1|1|alpha-2|alpha-2||1|ALPHA|INTIMIN|intimin_type_alpha			General stress response/Virulence gene
222708701|ACM67152.1|1|1|beta-2|beta-2||1|BETA|INTIMIN|intimin_type_beta			General stress response/Virulence gene
222708703|ACM67153.1|1|1|lambda-2|lambda-2||1|LAMBDA|INTIMIN|intimin_type_lambda			General stress response/Virulence gene
222708705|ACM67154.1|1|1|gamma-6|gamma-6||1|GAMMA|INTIMIN|intimin_type_gamma			General stress response/Virulence gene
222708707|ACM67155.1|1|1|epsilon-8|epsilon-8||1|EPSILON|INTIMIN|intimin_type_epsilon			General stress response/Virulence gene
222708709|ACM67156.1|1|1|epsilon-8|epsilon-8||1|EPSILON|INTIMIN|intimin_type_epsilon			General stress response/Virulence gene
222708713|ACM67158.1|1|1|epsilon-6|epsilon-6||1|EPSILON|INTIMIN|intimin_type_epsilon			General stress response/Virulence gene
222708719|ACM67161.1|1|1|beta-2|beta-2||1|BETA|INTIMIN|intimin_type_beta			General stress response/Virulence gene
222708721|ACM67162.1|1|1|gamma-4|gamma-4||1|GAMMA|INTIMIN|intimin_type_gamma			General stress response/Virulence gene
222708723|ACM67163.1|1|1|rho-3|rho-3||1|RHO|INTIMIN|intimin_type_rho			General stress response/Virulence gene
222708727|ACM67165.1|1|1|gamma-3|gamma-3||1|GAMMA|INTIMIN|intimin_type_gamma			General stress response/Virulence gene
222708731|ACM67167.1|1|1|epsilon-6|epsilon-6||1|EPSILON|INTIMIN|intimin_type_epsilon			General stress response/Virulence gene
224612960|CAQ77251.1|1|1|hlyA-alpha|hlyA-alpha||1|||RTX_toxin_hemolysin_HlyA			General stress response/Virulence gene
22652647|AAN03785.1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1			General stress response/Virulence gene
22652649|AAN03786.1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1			General stress response/Virulence gene
22759881|BAC10987.1|1|1|stxA1a|stxA1a||1|STX1A|STX1|Shiga_toxin_Stx1a_subunit_A			General stress response/Virulence gene
229260169|ACQ51206.1|1|1|bont_B5|bont_B5||1|||botulinum_neurotoxin_subtype_B5			General stress response/Virulence gene
238549598|BAH65949.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN			General stress response/Virulence gene
24137633|BAC22064.1|1|1|bont_B2|bont_B2||1|||botulinum_neurotoxin_subtype_B2			General stress response/Virulence gene
24984576|AAN68576.1|1|1|mrdH|mrdH||1|COPPER/NICKEL|COPPER/NICKEL|Ni(II)/Co(II)_efflux_transporter_permease_subunit_MrdH			Metal resistance gene
254939479|BAH86759.1|1|1|stxA2f|stxA2f||1|STX2F|STX2|Shiga_toxin_Stx2f_subunit_A			General stress response/Virulence gene
2576413|AAB82330.1|1|1|aafA|aafA||1|||aggregative_adherence_fimbria_II_major_subunit_AafA			General stress response/Virulence gene
257759657|BAI31154.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
257766024|BAI37519.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF			General stress response/Virulence gene
2588785|BAA23166.1|1|1|merG|merG||1|PHENYLMERCURY|MERCURY|phenylmercury_resistance_protein_MerG			Metal resistance gene
25987939|AAN76093.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN			General stress response/Virulence gene
260213855|CBE05858.1|1|1|bin_CdtB|bin_CdtB||1|||ADP-ribosylating_binary_toxin_binding_subunit_CdtB			General stress response/Virulence gene
260279121|BAI44131.1|1|1|agg5A|agg5A||1|||aggregative_adherence_fimbria_V_major_subunit_Agg5A			General stress response/Virulence gene
26107524|AAN79707.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN			General stress response/Virulence gene
26111414|AAN83596.1|1|1|ireA|ireA||1|||TonB-dependent_siderophore_receptor_IreA			General stress response/Virulence gene
270269184|ACZ66176.1|1|1|sel31|sel31||1|||staphylococcal_enterotoxin_type_31			General stress response/Virulence gene
2765304|CAA73668.1|1|1|lukD|lukD||1|||bi-component_leukocidin_LukED_subunit_D			General stress response/Virulence gene
281603818|ADA76801.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA			General stress response/Virulence gene
282160579|ADA79569.1|1|1|bont_F4|bont_F4||1|||botulinum_neurotoxin_subtype_F4			General stress response/Virulence gene
282948281|CBG87859.1|1|1|nleB|nleB||1|||type_III_secretion_system_effector_arginine_glycosyltransferase_NleB			General stress response/Virulence gene
282950079|CBG89712.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA			General stress response/Virulence gene
284924615|CBG27798.1|1|1|aafD|aafD||1|||aggregative_adherence_fimbria_II_chaperone_AafD			General stress response/Virulence gene
2853151|CAA11820.1|1|1|cfsA|cfsA||1|||CS5_fimbrial_major_subunit_CsfA			General stress response/Virulence gene
2865302|AAC38394.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA			General stress response/Virulence gene
2865304|AAC38396.1|1|1|espB|espB||1|||type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB			General stress response/Virulence gene
2865308|AAC38400.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF			General stress response/Virulence gene
2879920|BAA24823.1|1|1|arsB_pKW301|arsB_pKW301||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB			Metal resistance gene
290432|AAA23737.1|1|1|f17a|f17a||1|||F17A_fimbrial_adhesin			General stress response/Virulence gene
2947088|AAC38232.1|1|1|MerP_Gneg|MerP_Gneg||1|MERCURY|MERCURY|mercury_resistance_system_periplasmic_binding_protein_MerP			Metal resistance gene
295060061|ADF64798.1|1|1|ncrC|ncrC||1|COPPER/NICKEL|COPPER/NICKEL|Ni(II)/Co(II)_efflux_transporter_permease_subunit_NcrC			General stress response/Virulence gene
297592330|ADI47068.1|1|1|iha|iha||1|||bifunctional_siderophore_receptor/adhesin_Iha			General stress response/Virulence gene
29895498|AAP08785.1|1|1|nheC|nheC||1|||non-hemolytic_enterotoxin_NHE_subunit_C			General stress response/Virulence gene
29896770|AAP10048.1|1|1|hblC|hblC||1|||hemolytic_enterotoxin_HBL_lytic_component_L2			General stress response/Virulence gene
30043229|AAP18950.1|1|1|lpfA-O113|lpfA-O113||1|||long_polar_fimbria_major_subunit_LpfA-O113			General stress response/Virulence gene
302333605|ADL23798.1|1|1|scn|scn||1|||complement_inhibitor_SCIN-A			General stress response/Virulence gene
3095184|AAC26634.1|1|1|pet|pet||1|||serine_protease_autotransporter_toxin_Pet			General stress response/Virulence gene
3115184|CAA73506.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA			General stress response/Virulence gene
325048858|BAJ79293.1|1|1|aafA|aafA||1|||aggregative_adherence_fimbria_II_major_subunit_AafA			General stress response/Virulence gene
325048862|BAJ79295.1|1|1|aafA|aafA||1|||aggregative_adherence_fimbria_II_major_subunit_AafA			General stress response/Virulence gene
332312684|EGJ25779.1|1|1|arsD_like|arsD_like||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_metallochaperone_ArsD-related_protein			Metal resistance gene
332312690|EGJ25785.1|1|1|arsB_Lm|arsB_Lm||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB			Metal resistance gene
332312691|EGJ25786.1|1|1|arsB_Lm|arsB_Lm||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB			Metal resistance gene
3337077|BAA31836.1|1|1|espP|espP||1|||serine_protease_autotransporter_EspP			General stress response/Virulence gene
33469479|AAQ19775.1|1|1|csdA|csdA||1|||CS19_fimbria_major_subunit_CsdA			General stress response/Virulence gene
3372542|AAC78590.1|1|1|sej|sej||1|||staphylococcal_enterotoxin_type_J			General stress response/Virulence gene
3417251|CAA12346.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA			General stress response/Virulence gene
3513658|AAC33908.1|1|1|merC|merC||1|ORGANOMERCURY|MERCURY|organomercurial_transporter_MerC			Metal resistance gene
354855824|EHF16297.1|1|1|aggB|aggB||1|||aggregative_adherence_fimbria_I_minor_subunit_AggB			General stress response/Virulence gene
354855825|EHF16298.1|1|1|aggA|aggA||1|||aggregative_adherence_fimbria_I_major_subunit_AggA			General stress response/Virulence gene
356484840|AET11941.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
356484899|AET11995.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
356484913|AET12008.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
371976459|EHO93748.1|1|1|aur|aur||1|||zinc_metalloproteinase_aureolysin			Metal resistance gene
374343131|BAL46940.1|1|1|alpha|alpha||1|ALPHA|INTIMIN|intimin_type_alpha			General stress response/Virulence gene
374343133|BAL46941.1|1|1|epsilon-2|epsilon-2||1|EPSILON|INTIMIN|intimin_type_epsilon			General stress response/Virulence gene
374343515|BAL47132.1|1|1|epsilon-4|epsilon-4||1|EPSILON|INTIMIN|intimin_type_epsilon			General stress response/Virulence gene
374343603|BAL47176.1|1|1|rho-2|rho-2||1|YPSILON|INTIMIN|intimin_type_ypsilon			General stress response/Virulence gene
374343609|BAL47179.1|1|1|epsilon-2|epsilon-2||1|EPSILON|INTIMIN|intimin_type_epsilon			General stress response/Virulence gene
374343613|BAL47181.1|1|1|alpha|alpha||1|ALPHA|INTIMIN|intimin_type_alpha			General stress response/Virulence gene
380005626|AFD29291.1|1|1|aalE|aalE||1|||CS23_fimbrial_major_subunit_AalE			General stress response/Virulence gene
380248692|CBW53086.1|1|1|iha|iha||1|||bifunctional_siderophore_receptor/adhesin_Iha			General stress response/Virulence gene
38194523|AAR13270.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN			General stress response/Virulence gene
389595513|AFK88558.1|1|1|sat_auto|sat_auto||1|||serine_protease_autotransporter_toxin_Sat			General stress response/Virulence gene
390980685|AFM31243.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
394333411|AFN27480.1|1|1|bonA|bonA||1|||bongkrekic_acid_type_I_polyketide_synthase_BonA			General stress response/Virulence gene
395406670|AFN61309.1|1|1|bont_B8|bont_B8||1|||botulinum_neurotoxin_subtype_B8			General stress response/Virulence gene
403299|CAA50007.1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1			General stress response/Virulence gene
406780449|AFS59871.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA			General stress response/Virulence gene
414655|CAA51960.1|1|1|ibp|ibp||1|||ADP-ribosylating_binary_toxin_iota_binding_subunit_Ib			General stress response/Virulence gene
42529|CAA43558.1|1|1|papG-III|papG-III||1|||P_fimbria_tip_G-adhesin_PapG-III			General stress response/Virulence gene
4335912|AAD17513.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin			General stress response/Virulence gene
4335914|AAD17514.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin			General stress response/Virulence gene
46369880|AAS89773.1|1|1|cosA|cosA||1|||PCF071_fimbrial_major_subunit_CosA			General stress response/Virulence gene
46369885|AAS89777.1|1|1|csbA|csbA||1|||CS17_fimbrial_major_subunit_CsbA			General stress response/Virulence gene
46949087|AAT07441.1|1|1|cooA|cooA||1|||CS1_fimbrial_major_subunit_CooA			General stress response/Virulence gene
472420551|EMS03085.1|1|1|aggA|aggA||1|||aggregative_adherence_fimbria_I_major_subunit_AggA			General stress response/Virulence gene
47600653|CAE55775.1|1|1|sat_auto|sat_auto||1|||serine_protease_autotransporter_toxin_Sat			General stress response/Virulence gene
50956507|AAT90756.1|1|1|tcbA|tcbA||1|||Tc_family_toxin_subunit_TcbA			General stress response/Virulence gene
51949833|AAU14850.1|1|1|cpb2|cpb2||1|||beta-2_toxin_CPB2			General stress response/Virulence gene
52854784|AAU88264.1|1|1|cdtB|cdtB||1|||cytolethal_distending_toxin_nuclease_subunit_CdtB			General stress response/Virulence gene
531398|AAA57452.1|1|1|aggC|aggC||1|||aggregative_adherence_fimbria_I_usher_protein_AggC			General stress response/Virulence gene
534988|CAA85366.1|1|1|stxA1a|stxA1a||1|STX1A|STX1|Shiga_toxin_Stx1a_subunit_A			General stress response/Virulence gene
535089|CAA85370.1|1|1|stxA1c|stxA1c||1|STX1C|STX1|Shiga_toxin_Stx1c_subunit_A			General stress response/Virulence gene
535625057|EQX61716.1|1|1|aggA|aggA||1|||aggregative_adherence_fimbria_I_major_subunit_AggA			General stress response/Virulence gene
53850832|AAU95470.1|1|1|nleB|nleB||1|||type_III_secretion_system_effector_arginine_glycosyltransferase_NleB			General stress response/Virulence gene
54311626|CAG17541.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA			General stress response/Virulence gene
545581792|AGW33874.1|1|1|lukS-PV|lukS-PV||1|||Panton-Valentine_bi-component_leukocidin_subunit_S			General stress response/Virulence gene
550423|CAA57277.1|1|1|hlgC|hlgC||1|||bi-component_gamma-hemolysin_HlgCB_subunit_C			General stress response/Virulence gene
57434439|CAI43856.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF			General stress response/Virulence gene
586640776|AHJ80155.1|1|1|stxA1e|stxA1e||1|STX1E|STX1|Shiga_toxin_Stx1e_subunit_A			General stress response/Virulence gene
61652455|AAX47730.1|1|1|tir|tir||1|||type_III_secretion_system_LEE_translocated_intimin_receptor_Tir			General stress response/Virulence gene
619130|CAA58527.1|1|1|pcoC|pcoC||1|COPPER|COPPER|copper_resistance_system_metallochaperone_PcoC			Metal resistance gene
62085706|AAX63245.1|1|1|fedF|fedF||1|||F18_fimbrial_adhesin_subunit_FedF			General stress response/Virulence gene
62085734|AAX63259.1|1|1|fedF|fedF||1|||F18_fimbrial_adhesin_subunit_FedF			General stress response/Virulence gene
6470209|AAF13663.1|1|1|capB|capB||1|||capsule_biosynthesis_protein_CapB			General stress response/Virulence gene
663201|CAA54115.1|1|1|nfaE|nfaE||1|||Dr_family_non-fimbrial_adhesin_I_chaperone_NfaE			General stress response/Virulence gene
6687466|CAB64953.1|1|1|stxA2f|stxA2f||1|STX2F|STX2|Shiga_toxin_Stx2f_subunit_A			General stress response/Virulence gene
